epoch,train_accuracy,train_loss,valid_accuracy,valid_loss
0,50.028575510787256,"tensor(0.6930, device='cuda:0')",49.93333333333334,"tensor(0.6930, device='cuda:0')"
1,55.80082868981283,"tensor(0.6776, device='cuda:0')",56.13333333333333,"tensor(0.6776, device='cuda:0')"
2,66.6880982997571,"tensor(0.6203, device='cuda:0')",66.58333333333334,"tensor(0.6186, device='cuda:0')"
3,67.28818402628947,"tensor(0.5982, device='cuda:0')",68.30000000000001,"tensor(0.5982, device='cuda:0')"
4,74.6392341763109,"tensor(0.5118, device='cuda:0')",74.76666666666667,"tensor(0.5143, device='cuda:0')"
5,78.76839548506929,"tensor(0.4506, device='cuda:0')",78.06666666666666,"tensor(0.4600, device='cuda:0')"
6,82.20460065723675,"tensor(0.3937, device='cuda:0')",80.63333333333334,"tensor(0.4195, device='cuda:0')"
7,85.41220174310615,"tensor(0.3356, device='cuda:0')",83.45,"tensor(0.3696, device='cuda:0')"
8,85.8479782826118,"tensor(0.3225, device='cuda:0')",83.85000000000001,"tensor(0.3712, device='cuda:0')"
9,87.21245892270323,"tensor(0.3019, device='cuda:0')",83.56666666666666,"tensor(0.3539, device='cuda:0')"
10,88.35547935419345,"tensor(0.2710, device='cuda:0')",84.78333333333333,"tensor(0.3387, device='cuda:0')"
